text,value
"In line with the global economic slowdown, the US-dollar price of non-energy commodities is projected to decline somewhat further over the next few months.",neg
Global economic growth continued at a steady pace during the second half of 2010 and has been somewhat stronger than expected at the time of the October Report.,pos
"Through the spring, the dollar strengthened in response to positive Canadian economic data, but these gains were lost in early summer, reflecting the heightened volatility in global financial markets and uncertainty about the strength of the global expansion.",neg
"Given these developments, the projection for the Canadian economy has been revised down considerably for 2008 and 2009.",neg
"However, recent and projected increases in business investment, as well as continued rapid growth in labour productivity in the United States, make it reasonable to assume a resumption of productivity growth.",pos
Prices of energy and non-energy commodities remain well below historical averages.,neutral
"A strong recovery in the housing market is also anticipated to continue, albeit at a slightly slower pace than projected in January, as tight mortgage-lending standards and difficult labour market conditions for younger workers dampen household formation.",neg
The Bank anticipates that growth in household expenditures will rely less on housing investment over the projection horizon.,neutral
"Moreover, there is a possibility that a given amount of excess supply is having a larger impact on inflation than had been anticipated.",neg
"Real gross domestic income also declined further, but at a much slower pace than in the previous two quarters, owing to a partial rebound in Canada's terms of trade.",neg
"These factors, together with supply cuts by OPEC, have also helped boost world oil prices.",pos
"While the Bank expects a significant pickup in US growth in the second half of 2001 and some further strengthening in 2002, the abruptness and extent of the slowdown highlight the downside risk that the rebound in aggregate demand in the United States may take longer to take hold.",neg
Measures undertaken by the authorities to cool activity in the real estate sector have led to a softening in housing demand and a fall in property prices.,neg
Total exports are projected to increase at a moderately stronger pace than expected in the October Report.,pos
The downward revision was driven by three main factors.,neg
"The reduction in bank funding costs has, to a significant extent, been passed on to households.",pos
"US residential investment fell sharply in the second half of 2010, delaying the expected recovery of the housing sector.",neg
The economic outlook presented in this Report assumes that there will be no further major escalation of these tensions.,pos
"US economic activity is projected to increase at a rate significantly above the economy's growth potential in the second half of the year, boosted by tax rebates to households and an upswing in business spending.",pos
"Over the same period, medium - and longer-term yields have been subject to sharp swings, falling abruptly between April and June and rebounding as the outlook for global growth improved, led by increasing confidence in the US economic recovery.",pos
"Global economic conditions have improved since the April Report, and recent data indicate that the anticipated recovery in the United States is taking place earlier and will be stronger than previously expected.",pos
"A number of indicators support the view that pressures in product and labour markets intensified during the first three quarters of last year, and that the Canadian economy was operating in excess demand during the second half of last year.",pos
Several indicators of capacity pressures continue to suggest that the economy has been operating in slight excess demand.,pos
"Service exports that are expected to benefit include transportation; tourism; and telecommunications, computer and information services.",neutral
"Exports of machinery and equipment, metals and minerals, and agricultural and fish products all rose strongly after mid-2006.",pos
"In other emerging-market economies, moderating external demand, past tightening in monetary policy, pressures on financial conditions from foreign bank deleveraging and, in some cases, stalled reform efforts, have led to a progressive deceleration in economic activity.",neg
This stronger growth suggests some pickup in real output growth in the first half of 2006.,pos
"First, the upward pressure coming from the economy operating slightly above its potential output is expected to dissipate, since excess demand is projected to be eliminated in the second half of 2007.",neutral
"As well, some 95 per cent of the firms surveyed this autumn by the Bank of Canada's regional representatives expect inflation to remain in the 1 to 3 per cent range.",neutral
"In addition, the persistent weakness in Canadian non-commodity goods exports this year suggests that competitiveness challenges will be more pronounced than previously anticipated.",neg
"Taking into account the various indicators of capacity pressures, the Bank judges that the amount of slack in the economy in the third quarter of 2013 was between 1 and 2 per cent.",neutral
"However, the prices of non-energy commodities have edged down slightly since mid-2004.",neg
"In Japan, real GDP growth in the first quarter, at 5.0 per cent, continued to rebound sharply, supported by substantial fiscal stimulus and a strong increase in exports.",pos
"The recovery in new residential construction is expected to be further delayed and then to proceed gradually over the projection horizon, given the elevated supply of vacant homes.",neg
"For example, the structural estimate of the labour input gap is currently around -1 1/2 per cent.",neutral
Real GDP growth is projected to gather some momentum in 2013 as the benefits from the reforms put in place to address the debt crisis begin to materialize and confidence gradually improves.,pos
"When assessing excess capacity, the Bank considers its conventional measure in conjunction with several other indicators, since there is considerable uncertainty surrounding estimates of potential output, particularly when the economy is coming out of a deep recession.",neutral
Lower energy prices have led to a downward revision of the projection for total consumer price inflation.,neg
"For the second half of the year as a whole, exports were markedly weaker than projected, although this was partly offset by unexpectedly large inventory investment.",neg
